address,name,stars,longitude,postal_code,business_id,latitude,review_count,categories,city,is_open,hours,attributes,state
10701 E Blvd,Louis Stokes Cleveland VA Medical Center,3.5,-81.61375165,44106,YNvZdMLXa4q8e9tiE4ge4A,41.51355439,11,Health & Medical|Medical Centers,Cleveland,1,,"ByAppointmentOnly@True, BusinessAcceptsCreditCards@True",OH
12700 Shaw Ave,B & M Bar-B-Que Shaw,3.5,-81.5953266,44108,OwXMxqxIy4YoprAjnoUoiA,41.5408904,4,Barbeque|Restaurants,Cleveland,1,,"GoodForKids@False, RestaurantsReservations@False, RestaurantsAttire@ucasual, HasTV@False, RestaurantsTakeOut@True, RestaurantsPriceRange2@1",OH
11611 Euclid Ave,Phusion Cafe,3.5,-81.60304964,44106,3e0IGa_-zqTemKLc1dbdmg,41.5109853,17,Restaurants|Taiwanese,Cleveland,1,Monday@11:0-22:0|Tuesday@11:0-22:0|Wednesday@11:0-22:0|Thursday@11:0-22:0|Friday@11:0-23:0|Saturday@12:0-23:0|Sunday@12:0-22:0,"OutdoorSeating@False, WiFi@no, GoodForKids@True, GoodForMeal@dessert@False, latenight@False, lunch@False, dinner@False, brunch@False, breakfast@False, BusinessParking@garage@False, street@True, validated@False, lot@False, valet@False, HasTV@False, RestaurantsTakeOut@True, RestaurantsGoodForGroups@True, Ambience@touristy@False, hipster@False, romantic@False, divey@False, intimate@False, trendy@False, upscale@False, classy@False, casual@False, RestaurantsReservations@True, RestaurantsDelivery@True, Alcohol@none",OH
1701 E 12th St,Scorchers,3.0,-81.685414,44114,_RTnzQumsGrs3n4XuJaDQg,41.502996,6,Nightlife|Bars|Sports Bars,Cleveland,0,,"RestaurantsPriceRange2@1, OutdoorSeating@True, HasTV@True, RestaurantsGoodForGroups@True, Ambience@romantic@False, intimate@False, touristy@False, hipster@False, divey@False, classy@False, trendy@False, upscale@False, casual@False, BusinessParking@garage@False, street@False, validated@False, lot@False, valet@False, Alcohol@ufull_bar, NoiseLevel@uaverage, BusinessAcceptsCreditCards@True",OH
5673 Smith Rd,Brook Park Laser Wash,1.5,-81.803309,44142,x5mv33siyWGXVpOmLACfPQ,41.409087,5,Automotive|Car Wash,Cleveland,1,,,OH
,Hingetown,3.0,-81.7110287,44113,lK-wuiq8b1TuU7bfbQZgsg,41.48934281,4,Flowers & Gifts|Art Galleries|Coffee & Tea|Arts & Entertainment|Food|Cafes|Museums|Restaurants|Local Flavor|Shopping Centers|Shopping|Florists,Cleveland,1,Monday@0:0-0:0|Tuesday@0:0-0:0|Wednesday@0:0-0:0|Thursday@0:0-0:0|Friday@0:0-0:0|Saturday@0:0-0:0|Sunday@0:0-0:0,"Alcohol@unone, NoiseLevel@uvery_loud, HasTV@True, RestaurantsDelivery@False, WiFi@uno, Caters@True, RestaurantsGoodForGroups@False, RestaurantsAttire@uformal, BikeParking@False, RestaurantsTakeOut@False, OutdoorSeating@True, BusinessParking@garage@False, street@False, validated@False, lot@False, valet@False, Ambience@romantic@False, intimate@False, classy@False, hipster@False, divey@False, touristy@False, trendy@False, upscale@False, casual@False, RestaurantsReservations@False, RestaurantsTableService@False, BusinessAcceptsCreditCards@False, RestaurantsPriceRange2@4, GoodForKids@True",OH
3115 Berea Rd Bldg 2,Kash Moving,5.0,-81.780404,44111,wVeiSigLI-cZfQpoUlRmxw,41.468415,3,Movers|Home Services|Local Services|Self Storage,Cleveland,1,Monday@8:0-18:0|Tuesday@8:0-18:0|Wednesday@8:0-18:0|Thursday@8:0-18:0|Friday@8:0-18:0|Saturday@9:0-17:0|Sunday@9:0-17:0,,OH
3038 Scranton Rd,El Taino,2.5,-81.696918,44113,Gj8ANgQ6FcWdhrpEwUsxqQ,41.4709126,4,Mexican|Puerto Rican|Caribbean|Restaurants,Cleveland,0,,"RestaurantsTakeOut@True, OutdoorSeating@False",OH
1111 Lakeside Ave E,Holiday Inn Select-City Centre Lakeshore,2.5,-81.6896137,44114,q1DPrSrM1cbdTnUONdkwpw,41.5065352,3,Hotels|Hotels & Travel|Event Planning & Services|Caterers,Cleveland,0,,"BusinessAcceptsCreditCards@True, WiFi@free, RestaurantsPriceRange2@2",OH
12115 Euclid Ave,Gas USA,3.5,-81.600026,44106,lVAnRardgNKapBd-lyduHw,41.513392,5,Gas Stations|Automotive|Convenience Stores|Food,Cleveland,1,,"RestaurantsPriceRange2@1, BusinessAcceptsCreditCards@True, BikeParking@False, ByAppointmentOnly@False, BusinessParking@garage@False, street@False, validated@False, lot@False, valet@False, Caters@False",OH
